"Unnamed: 0","reward","len","score","turns","dlvl","max_hitpoints","max_energy","armor_class","experience_level","experience_points","eating_score","gold_score","scout_score","sokobanfillpit_score","staircase_pet_score","staircase_score","ttyrecname","episode_number","true_objective","maxlvl","role","race","gender","align","death"
"215","4483","34615","4483","23732","1","48","41","3","7","1089","23039","121","579","0","12","37","nle.2693401.12.ttyrec3.bz2","12","4483","1","Mon","Hum","Mal","Neu","killed by a wand"
"216","1280","10208","1280","9206","1","38","38","3","6","320","9222","708","539","0","0","2","nle.2693396.10.ttyrec3.bz2","10","1280","1","Mon","Hum","Mal","Neu","poisoned by a rotted newt corpse"
"217","7735","70090","7735","29576","3","65","40","0","8","1881","28455","175","1438","0","2","41","nle.2693397.16.ttyrec3.bz2","16","7735","3","Mon","Hum","Mal","Neu","killed by a dingo while fainted from lack of food"
"218","319","3254","319","2409","1","27","16","3","3","78","2353","7","546","0","4","7","nle.2693401.13.ttyrec3.bz2","13","319","1","Mon","Hum","Mal","Neu","quit"
"219","2691","24183","2691","16760","1","59","38","3","7","640","14573","7","548","0","10","61","nle.2693395.15.ttyrec3.bz2","15","2691","1","Mon","Hum","Mal","Neu","died of starvation while fainted"
"220","3048","20227","3048","13678","1","49","50","5","7","735","13780","108","558","0","0","41","nle.2693391.10.ttyrec3.bz2","10","3048","1","Mon","Hum","Mal","Neu","quit"
"221","1416","12360","1416","9673","1","44","40","3","6","354","9065","876","568","0","1","12","nle.2693452.11.ttyrec3.bz2","11","1416","1","Mon","Hum","Mal","Neu","quit"
"222","13918","43434","13918","28723","3","69","47","7","9","3423","28310","1604","1968","0","19","64","nle.2693394.17.ttyrec3.bz2","17","13918","3","Mon","Hum","Mal","Neu","killed by a fire ant"
"223","1588","14984","1588","11155","1","49","27","2","6","323","9022","20","575","0","10","18","nle.2693389.15.ttyrec3.bz2","15","1588","1","Mon","Hum","Mal","Neu","died of starvation"
"224","67","1747","67","1067","1","14","5","4","1","13","946","15","679","0","0","0","nle.2693391.11.ttyrec3.bz2","11","67","1","Mon","Hum","Mal","Neu","poisoned by a little dart"
